LOCALITY_NAME,LATITUDE,LONGITUDE
juhu lane,19.11474598,72.83976029
mahesh nagar,20.8995915,77.745256
sai nagar,19.1490182,72.9257057
sector 42 seawoods,19.0190834,73.01761682
sector 16 sanpada,19.0595341,73.00438537
sector 8 kopar khairane,19.1056227,72.9988648
sector 3 kharghar,19.0525298,73.0735111
gulmohar road,19.10503541,72.83680964
chandanwadi,16.8366507,74.63661546
juhu scheme,19.1050421,72.8272931
khandeshwar,19.0073498,73.0952827
tagore nagar road,19.11123195,72.93265285
sector 58 seawoods,19.0191159,73.01343754
gowalia tank,18.962095,72.81009812
veera desai industrial estate,19.13918195,72.83665629
hanuman chowk,18.3997373,76.5813272
palm beach,19.04624605,73.00890969
chincholi bunder,19.17925769,72.83572448
babrekar nagar,19.17763155,72.81034983
union park,19.0718905,72.8244456
upper worli,18.9869676,72.8285467
sector 4 ghansoli,19.1145086,73.00199767
sector 2 ghansoli,19.1193307,72.9995096
colaba post office,18.9111153,72.8208482
prathana samaj,18.9572494,72.8195089
cuffe parade,18.9157866,72.8189036
ram krishna nagar,19.0737385,72.8390229
sector 20b airoli,19.162134,72.9963398
sector 10a airoli,19.1471021,72.9878663
mota nagar,19.0551002,72.8305478
ambernath west,19.2098,73.1862
panch pakhadi,19.1955,72.9652
rajan pada,19.1797,72.8335
sector 35i kharghar,19.0474,73.0698
upper govind nagar,19.9843,73.7787
sector 17 new panvel east,18.9928,73.1221
karanjade,20.4836,77.4809
bevarly park,19.2936,72.8715
vichumbe,18.9857,73.1347
shapur baug,18.9601,72.8176
sector 34 kamothe,19.0206,73.0855
bhadra nagar,19.1883,73.0862
sector 27 kharghar,19.036146,73.0617213
wadala west,19.010584,72.855362
sector 18 kamothe,19.0138,73.09
chandan shanti,19.2874,72.8737
sector 35e kharghar,19.0669,73.0713
gauripada,19.2513,73.1533
kasar vadavali,19.2679,72.9712
shirdon,18.9342,73.1379
owale,19.2678,72.9549
sector 36 kamothe,19.0253,73.09
sector 31 kamothe,19.016804 ,73.096458
chirak nagar,19.2111,72.9704
sector 20 koparkhairane,19.1086,73.0006
maneklal estate,19.0899,72.9014
sector 9 khanda colony,19.0094,73.1114
anjurdive,19.2298,73.0349
rohinjan,19.08667998,73.0794569155 
kewale,19.0234,73.1575
adaigaon,19.0086,73.1282
wadeghar,19.2537,73.1209
kharkar alley,19.1962,72.9807
sector 18 kharghar,19.0471,73.08
vithaldas nagar,19.0771,72.8316
sector - 9 new panvel east,18.594,73.065
virar west,19.4594,72.8189
sector 18 ulwe,19.07,73.0066
sector 20 roadpali,19.0377,73.0903
sector 25 khandeshhwar,19.0102,73.1007
ambernath east,19.2075,73.1853
poonam gardens,19.2847,72.8719
sonar pada,19.1844,73.0957
sector 27 nerul,19.0193,73.025
sector 46 a seawoods,19.0107,73.0127
sector 36 kharghar,19.0773,73.0757
pale gaon,19.929027,72.7717775
dhakoji sethpada,19.1265,72.8416
sector 5 new panvel east,19.005,73.118
varap,19.2499,73.1844
sector 24 kamothe,19.0119,73.1003
sector 16a nerul,19.016804,73.096458
sector 19a nerul,19.0168,73.0965
sector 20 kamothe,19.0165,73.0962
shivaji udyog nagar,19.2067,73.0948
poonam sagar complex,19.272503 ,72.861148
new panvel sec 15a,18.9916,73.125
hatkesh udhog nagar,19.2814,72.8789
sector 20 ulwe,18.978,73.0295
panchkutir ganesh nagar,19.1219,72.9099
kurar village,19.1905,72.8639
golavli,19.2102,73.1137
karave nagar,18.4915,73.8217
sector 18 new panvel east,19.0016,73.1202
bhayandarpada,19.2861,72.9505
vichumbe new panvel,18.9857,73.1347
usarli khurd,18.291109,73.131744
curry road east,18.994,72.833
"sector 37, kharghar navi mumbai",19.0782,73.0789
somwari bazar,19.1815,72.8419
sector 11 khanda colony,19.03773415,73.06419187
new mig colony,19.0572,72.8436
seven bunglow,19.1291,72.8198
dn nager,19.1229,72.8301
dahanukar wadi,19.2085,72.8375
mathuras road kandivali,19.204511,72.837639
louiswadi thane west 400604.,19.193,72.9616
nilje gaon,19.1557,73.078
kanchpada,19.192,72.8383
sector 19 koper khairane,19.1046,72.9999
