LOCALITY_NAME,PRICE,PRICE_PER_SQFT,AREA,LATITUDE,LONGITUDE,LOG_PRICE
kalyan,14200000.0,14045.5,1011.0,19.2396742,73.1366482,16.468752592994022
kalyan east,6527272.7272727275,8879.626363636364,753.0,19.2278526,73.1322955,15.691499914423414
kalyan west,5039920.0,8318.996799999999,629.48,19.240353,73.1252789,15.43290096532153
kamatghar,3750000.0,3151.26,1190.0,19.2791446,73.0515718,15.137266664613225
kamothe,8612000.0,9618.264,948.6,19.0164338,73.0806552,15.96866725358343
kanchpada,30000000.0,25434.475,1397.5,19.192,72.8383,17.216707972959764
kandarpada,18000000.0,20464.573333333334,930.0,19.2566337,72.850504,16.705882371415992
kandivali east,22687878.78787879,24147.073030303032,973.5454545454545,19.2103809,72.8640837,16.93734140981083
kandivali west,16920000.0,19987.313333333335,865.2,19.2084439,72.8420309,16.644006971244004
kanjurmarg east,20052000.0,25302.617199999997,812.12,19.1296868,72.9283701,16.813839507235866
kanjurmarg west,22659090.90909091,24048.805454545454,945.0454545454545,19.1281626,72.9260991,16.936071738140246
kannamwar nagar 1,8562500.0,15405.585000000001,597.1666666666666,19.120555,72.93856926,15.962902878340932
kannamwar nagar 2,8300000.0,18074.856666666667,496.0,19.1168383,72.9401198,15.931766193248746
karanjade,4463166.666666667,7669.458333333333,602.0,20.4836,77.4809,15.311369311058703
karave nagar,60000000.0,17910.45,3350.0,18.4915,73.8217,17.909855136853043
karjat,3022500.0,6383.327499999999,501.75,18.9127655,73.3228202,14.921595192322973
kasar vadavali,7299833.333333333,12065.818333333333,610.6666666666666,19.2679,72.9712,15.803362211797179
kasaravadi,34200000.0,27580.65,1240.0,18.6080927,73.8208678,17.3477362312726
kasheli,2750000.0,4444.445,645.0,19.2362651,73.0147061,14.827111833279051
kashimira,6500000.0,15294.12,425.0,19.2755399,72.8841851,15.687312888712007
katrap,3433333.3333333335,4116.118888888889,836.6666666666666,19.1685323,73.2272798,15.049042455793849
kavesar,16660000.0,11205.711,1589.1,19.2623339,72.9722476,16.62852125472698
kewale,3350000.0,6963.839999999999,516.5,19.0234,73.1575,15.024471202308668
khadakpada,14350000.0,11841.003333333334,1121.6666666666667,19.2525044,73.1373763,16.47926056985631
khanda colony,11033333.333333334,16841.483333333334,657.3333333333334,19.0060098,73.1075094,16.21643164231362
khandeshwar,6500000.0,8666.67,750.0,19.0073498,73.0952827,15.687312888712007
khar west,78328571.42857143,57421.68142857143,1425.357142857143,19.0682411,72.8400412,18.1764230040857
kharghar,15184861.842105264,16259.056644736842,942.4407894736842,19.025773,73.05918453,16.535809623961875
"kharghar,sector 23",27000000.0,31764.71,850.0,19.0525298,73.0735111,17.11134746100564
kharkar alley,8000000.0,15384.62,520.0,19.1962,72.9807,15.894952224644102
khoni,6200000.0,6200.0,1000.0,19.3153959,73.0557553,15.64006001130563
khopat,7800000.0,9750.0,800.0,19.2034255,72.9718687,15.86963441986494
kolshet,16300000.0,20292.54,764.5,19.2389025,72.9932692,16.60667572712668
kolshet road,13132793.103448275,17745.291724137933,754.5172413793103,19.22885968,72.98311885,16.390623026644068
koperkhairane,16772750.0,20375.815625,987.0,19.09720145,72.99814975,16.63526616327963
kulgaon,2800000.0,4216.87,664.0,19.1650196,73.237532,14.845130332288226
kurar village,4950000.0,15000.0,330.0,19.1905,72.8639,15.414898336565054
kurla east,15043192.307692308,24449.206923076923,599.3461538461538,19.0628944,72.8825604,16.526436174939235
kurla west,13318062.5,21723.570625,615.5,19.0686026,72.876583,16.404631829624517
kutak bandhan,9900000.0,8354.43,1185.0,19.07134945,73.07852515,16.108045416114916
lal baug,68500000.0,32665.71,2097.0,18.9935288,72.8424069,18.042344317830995
laxmi nagar,31833333.333333332,24657.093333333334,1324.0,19.0908037,72.9167981,17.27602454819646
lbs marg,28133333.333333332,20290.093333333334,1358.3333333333333,19.08426895,72.88407956,17.1524657064431
lic colony,17500000.0,33980.58,515.0,19.9675811,73.77157446,16.677711496036597
lokhandwala andheri west,100000000.0,25378.79,3900.0,19.13187099,72.82563577,18.420680753952364
lokhandwala kandivali east,28128571.42857143,25248.74142857143,1183.0,19.19888812,72.87288428,17.152296430105082
lokmanya nagar,4100000.0,5466.67,750.0,21.1108046,79.001754,15.226497775576945
louis wadi,41000000.0,21298.7,1925.0,19.1962955,72.9623222,17.529082649058825
